start	end	text
525823	551774	perché è un argomento molto importante e poi perché viene utilizzato in tutti i linguaggi di programmazione non c'è programmazione senza gestione delle eccezioni quindi in pratica questa è la fruttata per chiedergli qualche esercizio qualche esercizio su la gestione delle eccezioni in C++
554133	579009	ovviamente aggiungete sempre la parola semplificati perché se non quello sepparte per la tangente vi chiede delle cose spaventose quindi in pratica cercate di gestirlo cercando di fornire una difficoltà crescente quindi i primi esempi devono essere degli esempi
581772	596795	che vi consentono di testare le vostre conoscenze e la comprensione dell'argomento in pratica poi pian piano vi spingete un po' più avanti va bene?
599455	611197	la cosa ideale è questo è il suggerimento che vi do rivedete gli esempi e gli esercizi che avete mandato in passato riprendeteli
612774	616896	e trovate, valutate l'ipotesi di inserire la gestione delle eccezioni.
618156	622878	Attenzione, ultima cosa è purtroppo quando parti vuoi parto, no?
623538	634702	Attenzione, quando vogliamo le eccezioni, il C++, il C++ praticamente ha una sua classe, exception.
637163	637583	Ci siete?
638123	639284	Allora, fate questo lavoro dai.
640807	652096	perché sennò vi vengono fuori soltanto le lezioni piccole e in un'ora a quello potete fare però sono cose che potete anche fare a casa, invece potete fare questa cosa in cui siete in gruppo.
653898	669350	Proposta a chiedere, vi anticipo, la classe section è un'albero e quindi praticamente ci sono, cioè il concetto viene realizzato e c'è la specializzazione
670701	677926	Quindi ci sono tutte le eccezioni che voi potete utilizzare, che rappresentano delle specializzazioni.
678066	688653	In questo modo, se voi guardate quali sono le eccezioni, le classi eccezioni che lui prevede, lì comincerete a dare senso
690380	691761	all'esistenza delle sessioni.
692462	708712	Voi fatelo, provate a fare delle domande, io mi organizzo perché il lavoro vi ho già fatto, quindi poi voi cominciate a fare delle domande, classe eccezione, parlavi della classe eccezione, quindi rompete il ghiaccio chiedendo, ovviamente qui sul sito c'è tutti.
713425	714986	Com'è organizzata la tua seccezione?
715786	716386	Eccezion?
717847	718427	Deciti più.
719107	724749	E poi io mi preparo una cosa che avevo preparato.
724769	732611	Intanto ho mandato la incompleta dita di guitarra per una parte del testo di sopra.
733291	736572	C'è anche la documentazione di HTML, ma non so come farla prima.
742515	744836	A proposito, Cima, ti l'hai sentito?
745936	746196	Senti?
746256	747037	Tutto a posto?
747457	754179	Eh, sta facendo un stage di... No, io volevo capire, eh, siccome praticamente gli avevo dato dei libri... Ah, ok.
754259	756560	E volevo a questo punto recuperare i libri.
756640	758361	Ok, allora gli dure.
758381	772086	Sì, vabbè, mi è sfuggito, perché no, è una cosa, è un promemoria mio, nel senso che vorrei scrivere i libri per dire ok, per quanto riguarda appunto quei libri sull'UML.
772841	775242	Allora, aspetta, vediamo se mi ricordo.
775282	776602	Vediamo se mi ricordo perché...
807107	817452	Non ho mai capito l'incezione, non devo vedere un attimo quali passi.
819834	821294	Certo, G.P.T.
821414	824656	No, io voglio partire al 30, dove stai?
824816	834641	Geno, in senso continui a fare catch, throw, catch, throw, catch, throw, finché non esce da tutte le chiamate.
835111	836672	No, ma ti ritorna sempre lo primo.
836873	839935	Beh, sì, per forza.
840015	842658	Cioè, io me lo sono immaginato prima, non me.
842778	844560	Lo utilizzo tutto, in questo senso.
874323	876904	Ok, aspetta un attimo, vediamo.
876924	880305	Assemble, auto-tenimento, tradizione, eccezione.
880586	881346	Eccole qui.
882226	882706	Vediamo?
883627	883847	Sì.
885187	885927	Ok.
887408	888148	Perché?
888188	892830	Perché poi vabbè sono disordinato, quindi in pratica... Ok.
897500	921434	Rai Si ok Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai Rai
926394	928655	Quando parliamo di eccezioni non stiamo parlando del C++, eh?
930095	941338	Qual è soltanto appunto l'uso che C++ fa delle eccezioni, quindi gli strumenti che vengono messi a disposizione da parte del linguaggio.
941959	950281	Quindi se io devo fare una domanda per capire il senso delle eccezioni, io non sto facendo le eccezioni del C++, sto facendo le eccezioni che poi ci sia il sito per un caso.
952498	958502	E quindi la cosa più importante è questa domanda, la domanda più generale, più generica.
959442	962444	Quindi parliamo dell'eccezione della programmazione?
962564	963605	No, c'è più.
964585	966487	E lui vi dirà delle cose in pratica.
968868	975412	Struttura di gestione delle eccezioni, quindi praticamente vi dirà le stesse cose che vi ho detto io.
980859	983820	devo implementare un'eccezione, allora a questo punto cosa faccio?
985141	996325	Prima, la prima cosa è mettere sotto osservazione il codice critico, lo step successivo è predisporre l'intercettazione dell'eccezione.
996605	997926	Cos'è un'eccezione?
998506	1002828	E ovviamente può essere un oggetto, può essere un dato.
1004729	1007710	Attenzione, oggetto, non una classe,
1008798	1015380	oggetto, quindi praticamente stiamo parlando di un qualcosa come una variabile, non un tipo, ma una variabile.
1016301	1021703	Invece il tipo lo devo inserire nel cache.
1023003	1031626	Io ne ho fatto vedere degli esempi, ecco perché poi ho detto che fateli, e poi sul sito ci sono gli esempi.
1032386	1036968	Lui fa un esempio di Java,
1039042	1048969	Io mi suggerisco anche di guardare, secondo gli abbiamo detto con quale linguaggio, lui solitamente quando si tratta di argomenti sulla programmazione di oggetti Java ce lo mette sempre.
1050511	1052172	Quindi c'è sempre un esempio Java.
1053393	1067123	Soffermatevi e riflettete, perché automaticamente vi renderete conto di quanti punti di incontro ci siano col C++ e di quanto sia abbastanza rapido il passaggio dal C++ al Java.
1069226	1070706	È chiaro?
1070726	1088550	Come vi ho sempre detto i linguaggi sono plurali, si studiano, quindi si impara una regola comune, a questo punto imparare un nuovo linguaggio significerebbe imparare quello che non ha l'altro e quindi lavoro per differenza.
1088590	1098452	Detto questo, quindi qui abbiamo il cache e qui c'è la versione ovviamente sempre in Java.
1099358	1100699	C'è anche la versione in Python.
1101799	1102459	Anche questo.
1103320	1105741	Mi piace questa soluzione che propone lui.
1105841	1106261	Perché?
1107422	1110583	Perché, definitivamente, il Python è un altro linguaggio.
1110603	1112484	C'è un pallino di questa storia del Python.
1112524	1114485	Vorrei che si facesse almeno a fine anno.
1114825	1115265	Perché?
1116126	1119267	Perché l'intelligenza artificiale sta girando attorno al Python.
1120167	1124329	E quindi è giusto avere anche quel linguaggio come riferimento.
1125010	1127851	Per noi sarà un corollario, una cosa
1129457	1129557	No?
1129757	1133160	I concetti grossi li affronteremo usando il C++.
1135242	1141246	Python è semplicemente una cosa che mi metto in paro appunto.
1143849	1147952	Non più di una settimana a 10 giorni riuscirete già a fare delle cose importanti.
1148933	1150054	Se avete una solita base.
1151194	1154377	Altrimenti i tempi sarebbero più lunghi.
1156738	1174362	Poi, sì, l'altra cosa interessante è questo, gerarchia dell'eccezione, perché io vi ho detto che c'è la classe eccezione, non c'è più più, e c'è una gerarchia.
1175962	1181363	Il problema non è tanto, c'è o non c'è una gerarchia, ma qual è il senso della gerarchia?
1181503	1183004	Perché c'è la gerarchia?
1185768	1213206	come è impostata la gerarchia buone pratiche e quindi praticamente suggerimenti su come si usano le eccezioni vedete quella domanda che non avreste mai fatto ma non perché siete idioti per un motivo molto semplice quando siamo molto abitati sul linguaggio è chiaro ci perdiamo la genericità
1214953	1219537	Quindi, la domanda più ovvia è, parlami delle eccezioni, senza indicare il linguaggio.
1220478	1227003	Questo significa che lui fa un discorso, intanto dimostra il fatto che le eccezioni esistono a prescindere dal linguaggio.
1228325	1240435	Come vi ho detto una volta scorsa, sono i linguaggi che si sono adeguati alle eccezioni, ma il concetto c'era... poi lo hanno implementato con i vari linguaggi, con le varie sintassi, no?
1241972	1245053	Però evidentemente c'era un problema, qual'era il problema?
1246653	1248973	Cosa volevano risolvere con le eccezioni?
1249914	1258555	E quando parlo in questo modo io non sto parlando del C++, quello è semplicemente uno strumento, io mi sono dato queste regole e le gestisco in questo modo.
1259856	1265097	E quindi è molto interessante anche questo tipo, quando usarle, come usarle, perché usarle.
1265957	1268217	Infatti, vi faccio notare un'altra cosa.
1271889	1298788	aspetta, ecco qui ha spostato l'attenzione sul C++ vorrei che facesse riferimento anche al C++ e qui a questo punto lui riprende il concetto generico e lo contestorizza in C++ di conseguenza fa ovviamente l'esempio guardate questo esempio che è interessante
1300549	1303171	Lui ha fatto questo esempio che io non ho fatto.
1303231	1310256	Io, per fare il riferimento all'esempio, ho messo una funzione che contiene al proprio interno il TRO.
1310556	1311957	Il TRO è la terza parola chiave.
1313078	1315539	Da quel momento viene lanciata l'eccezione.
1317280	1319622	Lanciata l'eccezione significa c'è la novalia.
1321443	1325166	E questo significa che un'eccezione la posso anche inserire io.
1326474	1340362	all'interno del mio codice senza necessariamente andare a spomodare altre funzioni lo posso fare attraverso delle funzioni ma lo posso fare anche all'interno del main una cosa certa qual è il senso di questo codice?
1340422	1354470	il senso di questo codice non è banale perchè la cosa che vuole mettere in evidenza lui qui è che quando parte questa eccezione questa istruzione non verrà eseguita quando io vi dico le cose si imparano
1355974	1383576	da piccoli codici significativi non da vagonate dei codici perché se so leggere io capisco e lì c'è scritto una cosa molto importante quando viene lanciata un'eccezione in questo caso trovo cosa stai lanciando e vi ho detto un'eccezione cos'è o è un dato oppure
1385265	1395650	è un oggetto e in effetti lui non sta mettendo string, sta mettendo una stringa quindi un valore è chiaro?
1396131	1411699	e quindi tutte le considerazioni che erano fatte su quella stringa non sul tipo stringa il messaggio quando io leggo il codice, ecco perché quando vi dico mi consegnate il codice, poi me lo spiegate ma mi spiegate di carriera
1414548	1423333	E' quel motivo per cui va bene usare i fattori di pitti per farci vedere i codici e poi me li spiegate riga per riga le cose.
1424994	1427235	Se sapete come stanno le cose non me ne frega niente.
1427255	1430477	Il problema è quando non sapete come stanno le cose.
1433118	1434439	Perchè ci stiamo prendendo in giro?
1434579	1435439	La cosa non mi piace.
1436980	1437500	Messaggio?
1438981	1439802	Parte l'eccezione?
1441022	1441843	Parte la stringa?
1443352	1471882	questa istruzione non viene seguita se ne fossero state 50 non le avrebbe seguita basta una perché il senso è questo interruzione dell'eseguizione di quel flusso a questo punto parte l'eccezione l'eccezione è qualcosa che si muove si muove per cercare cosa qualcuno che l'intercetta e a questo punto eccola qui catch
1473030	1500318	attenzione, è qui che ci devo mettere il tipo perché il punto di intercettazione lui non intercetta i valori non intercetta i tipi quindi, nel senso, intercetta il tipo di eccezione che mi arriverà se mi arriverà una streghe allora intervengo
1502887	1507429	Se mi arriverà un intero, questa viene saltata.
1508689	1518772	Attenzione, ci sono delle belle checce con tre puntini che hanno un significato molto importante, con tre puntini all'interno.
1518832	1519493	Che significa?
1519573	1525615	Non c'è il tipo, raccoglie tutto, chiaro?
1527935	1532537	E se raccoglie tutto, il problema è che ci mettono nel corpo.
1534210	1562106	siccome le potrebbe raccogliere di diversi tipi è chiaro che all'interno delle parentesi di grafici dobbiamo mettere una serie di info che vanno a fare una serie di controlli quindi scendiamo e infatti c'è un cache qui puntini puntini puntini andiamo giù questo è un esempio di utilizzo di cosa non ve ne ho parlato ed è presente anche in Java
1563656	1564937	Qui c'è un esempio pilota.
1566897	1569738	Attenzione, ecco perché attenzione a quello che gli chiedete.
1570879	1582803	Potete anche chiedervi di generare codice C. Attenzione, questo è l'altro argomento che dobbiamo riprendere.
1587324	1615092	quindi sono i file ma questo serve ovviamente come rinfresco di quanto era di Dio abbiamo fatto l'anno scorso l'anno scorso abbiamo fatto un casino di cose quindi dovremmo riprendere anche la gestione dei file lui sta lavorando con i file attenzione, lanciare un'eccezione personalizzata qui fa una serie di esempi
1617387	1624652	poi vado vantaggi e svantaggi nell'uso delle eccezioni.
1624952	1634599	Io vi ho detto, le eccezioni hanno un costo, è vero che mi aiutano a... Però effettivamente non sempre.
1635780	1638722	La maggior parte delle attività prevedono solo delle eccezioni.
1639722	1646387	Però ci sono delle eccezioni, cioè delle situazioni in cui le eccezioni sono sconsigliate.
1648228	1650349	sconsigliate perché considerate onerose.
1650369	1657134	E quando io non ho più la possibilità di usare le eccezioni, cosa faccio?
1657274	1658475	Io lo giustisco io.
1660656	1666060	Quindi sono io che vi faccio tutti i controlli necessari, è chiaro?
1667101	1671904	Andiamo giù, vantaggio e svantaggio se usate le eccezioni, quindi separazione dalla logica
1672722	1675443	principale, lui vi spiega come stanno le cose.
1675644	1678165	Era questo che vi volevo mettere in condivisione.
1678785	1681166	Sono queste le domande che mi sarei aspettato da voi.
1683067	1685969	Questa è la dimostrazione che avete studiato l'argomento.
1687510	1687830	Perché?
1689651	1691312	Le domande non vengono così.
1693353	1697335	O me li trovo con un percorso di domande e me li devo studiare.
1698415	1699516	Poi mi devo leggere le risposte.
1700785	1707069	perché a volte lui parte per la tangente e allora mi aspetto la seconda domanda di giustamento.
1708830	1710951	Se non c'è, avete fatto proprio un colla.
1713973	1714333	Chiaro?
1715353	1719036	Quindi, questo è un percorso di studio, delle sezioni.
1720276	1725960	Però, come vi ho sempre detto, io rompio il ghiaccio, vi do il punto di partenza.
1726080	1730122	L'alternativa, ti do il titolo dell'argomento, vai a cercare di studiare.
1732699	1733800	ma non capirete il senso.
1737301	1739142	Compressità e difficoltà del debug.
1739262	1741624	Attenzione, cosa mi era sfuggita?
1742584	1745506	Quando usate le eccezioni, debagare diventa complicato.
1750408	1750748	È chiaro?
1752189	1753710	Debagare diventa complicato.
1754090	1755911	Quindi tutto è un prezzo.
1758092	1761654	E quindi, se ho una anomalia di funzionamento del mio codice,
1762259	1789481	e voglio debagarlo, la presenza delle eccezioni mi crea problemi e quindi ci sono altre tecniche che devo utilizzare per debagare il codice, questo vale per i principi più ma vale per chiunque, perchè la risposta è, la considerazione è sul concetto di eccezione uso il gesticolo delle eccezioni e può complicare il codice ecco perchè quando vi dicevo
1790311	1793133	Dovete scrivere codice, dovete progettare codice.
1793793	1795795	E progettare significa prendere delle decisioni.
1797456	1798777	Cosa fare e cosa non fare.
1799177	1800978	Anche se apparentemente mi conviene.
1805221	1808843	Qui ci sono una serie di... E poi ho fatto questo.
1810804	1813186	Mi parezzi dei semplici significativi commentati
1814042	1817625	su quando usare e non usare le eccezioni.
1817885	1821408	Perché è chiaro, lui mi ha detto quando vantaggi e svantaggi, no?
1822129	1828314	Ma a questo punto la cosa che si chiede è, dimmi quando lo devo usare, fammi un esempio.
1831837	1836161	In questo modo, secondo questo percorso, è chiaro che l'argomento io lo capisco.
1837542	1841205	Se non lo capite, c'è un problema.
1843980	1846682	e non è lui.
1846722	1854747	Cioè, ai miei tempi, se gose morire, chiaro?
1855187	1857048	Ecco perché potete essere molto più produttivi.
1857168	1858049	Questa è la produttività.
1859189	1862671	Dicono che l'intelligenza artificiale aumenta e incrementa la produttività.
1862872	1863812	Questa è la dimostrazione.
1865953	1869956	Ma anche lo stile di apprendimento, il modo di studiare cambia.
1874389	1882871	Però c'è una cosa che è vecchia, era moderno e rimasto.
1884231	1893494	Diccio, se tu non mi stai al passo, e lo dico per tutti, perdonese, siete morti, potete avere tutti gli strumenti che volete.
1895214	1899675	Ho studiato di volte in volta micro con la scienza, micro studio.
1900955	1903216	Si scatta la presunzione, tanto c'è lui,
1905291	1906272	Andrete nella merda.
1908733	1910313	Piccole cose, sempre.
1913355	1916296	Non commettete l'errore di spostare tutto in avanti.
1917997	1918677	Mi farete male.
1920838	1921738	Andrete in affano.
1925700	1926560	E poi non vi dico il dopo.
1930482	1934584	Quando non usare, non lo ha messo anche in maioscola,
1936286	1940268	E qui c'è un esempio di caso in cui non conviene utilizzare le attezioni.
1940549	1942470	C'è un'altra domanda che gli ho fatto.
1945632	1946532	Quando non usare?
1951335	1951975	Conclusione.
1955718	1957359	Gli ho chiesto, lo sapevano?
1958479	1961221	Mi generi l'albero delle attezioni.
1963118	1980091	io gli ho fatto una domanda di cui conoscevo già la risposta, quindi praticamente questa è già una domanda avanzata a voi ho detto, rotto il ghiaccio dicendo attenzione a c'è un aldere potreste non farlo mai, fare male a queste domande a berlo gelatico?
1980411	1986416	eh si si, si, si, si, si, in questo caso parliamo di gerafia vedete?
1987357	1991520	queste sono tutte le sezioni che lui riesce a gestire cioè
1992512	1995854	C'è un piano di gestione delle eccezioni, di generazione delle eccezioni.
2000877	2018469	Prendiamo questa, SFD exception, è la classe base, il PADLE, che raccoglie ovviamente le generalità e qui rifassiamo le regita di età e la generalizzazione, classe generica.
2019369	2021451	C'è un'eccezione generica, eccezione generica di
2024770	2029191	detettivo, non l'ho ben capito, e poi gli faccio le specializzazioni.
2030752	2049257	Infatti, guardate qui, vedi all'occhio, una eccezione può essere generata quando, per esempio, sto usando i puntatori, devo alocare la memoria dinamicamente, e quindi a questo punto che succede in pratica.
2051397	2052097	Il problema qual è?
2053378	2054018	La memoria in piena.
2056187	2077843	anche perchè noi abbiamo dato sempre il riscontrato che tutto funzionassero però su una macchina vera vedete soltanto la lettura con la descrizione già vi dovrebbe aprire la mente e farvi venire qualche dubbio del tipo ma che cazzo di cazzo dici di merda scritto?
2080340	2085882	No, semplicemente a non leggere queste cose, perché dici già vero, già vero, già vero.
2086002	2088223	Ok, state prendendo coscienza, state crescendo.
2090444	2090724	E' chiaro?
2094345	2095486	Bad alloc.
2096266	2099587	Errore di memoria, di allocazione di memoria.
2101468	2106110	Viene sellevata quando l'operatore GNU non riesce ad olegare memoria
2108377	2115383	e come la Marlboro qui in c'è, quindi, il Niu alloca in C++ allocazione di spazio, devo prendere lo spazio che sta dove sta?
2115423	2116764	Vi ricordate dove sta lo spazio?
2117104	2117344	Nell'HIP.
2117985	2118485	Nell'HIP.
2120427	2120827	E quindi?
2121107	2122008	Evidentemente lo HIP?
2122028	2123309	È pieno.
2123369	2124250	È pieno, punto.
2126311	2134558	Uno dei motivi per cui si riempie lo HIP è perché non ho fatto la D allocazione e quindi non ho liberato spazio.
2134918	2136700	Niu alloca la DELETE
2137942	2138382	Elimina.
2138403	2139743	Evidentemente l'ho mai usata.
2141705	2142185	È chiaro?
2143867	2145968	Lavorare con i puntatori è per persone serie.
2145988	2150992	Il motivo per cui i migliori programmatori erano quelli che gestivano quell'area di memoria.
2151012	2157637	Il motivo per cui non si insegna più, perché la maggior parte della gente non è fatta queste cose.
2160058	2163821	Però se prendi uno che lavora a questi livelli, lo paghi caro.
2165522	2166023	Perché non c'è?
2168101	2169381	Non c'è formazione specifica?
2169621	2171142	La gente voleva correre sempre alto.
2172382	2175403	Qui spacchi il bit.
2175443	2175763	Siete?
2175923	2177564	E qui c'è una serie di esempi.
2179064	2179464	Vedete?
2181305	2189747	Badcast C'è un problema di casting, ma nelle allocazioni, cosa che vi ho detto?
2190627	2193848	La new alloca a spazio, sì, vero?
2194928	2196689	I C10++ non si incassano mai.
2198138	2209421	provata ad usare una new con un tipo incompatibile con il puntatore che dovrà ricevere l'indirizzo, e lui si cazza.
2211761	2212302	Dall'errore.
2212322	2215362	Ah, quando dall'errore poi cresce.
2217723	2218143	Vedete?
2219463	2222624	E quindi ho chiesto appunto di fare questo elenco.
2224265	2225065	Cos'è mandati?
2225305	2225385	Joe?
2226670	2228191	Lui ha fatto tutta una serie di esempi.
2228211	2236493	Di Petro, lo studio consiste infatti nella lettura di queste eccezioni.
2237254	2244716	Perché la lettura di queste eccezioni ti fa capire cosa significa per le mali maera positiva.
2244996	2249498	Ma i runtime non sono utili per il debone?
2251724	2258447	No, il runtime significa che c'è un problema durante l'esecuzione, è stato rilevato qualcosa durante l'esecuzione, per chiedermi.
2259207	2267750	Enrico, per esempio, c'è un overflow error, mi aiuta a trovare un errore?
2267770	2279355	No, il problema è un altro, il problema è quando si verifica, nel momento in cui si verifica una situazione di overflow,
2281513	2283675	significa che Daniele non mi possa spostare.
2285055	2287157	Ma allora a questo punto lui cosa fa?
2287557	2292360	Ti lancia un'accensione, ti dice, guarda, è successo.
2292480	2293380	Il problema è un altro.
2294261	2298103	Io quando scrivo il codice devo sapere qual è la forzione di codice?
2298963	2301245	C'è rischio.
2303026	2303386	Chiaro?
2305247	2307148	Se devo fare un armino è chiaro.
2307809	2309570	Quali possono essere i rischi?
2309610	2310350	Non c'è spazio.
2311266	2312547	Allora io mi predispongo, no?
2314888	2316209	C'è un errore di runtime.
2316289	2320411	Quale è la posizione di codice che può provocare questa defalazione?
2321111	2322712	C'è tutto il pacchetto di eccezioni, no?
2323012	2323612	Già, pronte?
2325113	2325653	C'è.
2326034	2326354	Chiaro?
2327454	2327854	E quindi?
2327875	2330716	Tutto sfinita?
2331276	2334018	No.
2334098	2335698	Overflow, eccetera eccetera.
2337019	2337700	E poi?
2337820	2338400	E poi niente.
2340242	2344806	Questo per dire le domande, le volete avere, queste cose?
2344906	2345186	Sì.
2345366	2358116	Io ripeto, questa era la settimana scuola quando avevo detto che c'era una sorpresa, poi l'ho messa al caso.
2358416	2369445	E questo lo considero un percorso di studio, ma anche un percorso di approfondimento, ma anche un percorso di presa di coscienza, di cosa significa sviluppare un codice serio.
2370999	2373119	Se no, faccio cosa?
2373340	2373960	Vedo gente.
2373980	2377040	È chiaro?
2377660	2386582	E la lettura di queste eccezioni mi fa capire cosa dovete prevedere nel vostro codice a scuola.
2388923	2390543	Lavoriamo sempre per caso ottimo, no?
2391023	2394484	Per situazioni ottimali, mai per cose critiche.
2395824	2398125	E quindi noi le monitoriamo nella realtà.
2399045	2399745	Poi me le ritrovo.
2401875	2409958	ok vabbo poi mi metto in condivisione questa cosa vi mando il percorso, va bene?
2410018	2411558	ciao ragazzi
2430109	2433532	te l'ho detto, Gabriele
2455151	2460614	Non mi stai facendo questa... Eh no, so, ma forse per me avrei... Per me è il sabato.
2460775	2468519	Sì, ho capito, Gabriele, tanto Dio, però... Il discorso è... Capisci?
2469200	2472542	Vabbè, se ti inconsegno non vedeci neanche io.
2473222	2475624	Neanche se... Non è solo me.
2488524	2494387	Si può usare per 3 anni di lavoro e inizia
2513255	2513495	Allora...
2540503	2540683	Buonasera
2564639	2566803	veramente la verifica era domani non oggi
2575891	2583313	no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no
2603908	2604248	2 volte in meno.
2604268	2604348	Ciao
2630230	2630390	Sì, sì.
2648237	2659082	Io avevo pensato a un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po' e un po'
2676405	2681926	Quello di Paolo San Lorenzo, io l'ho vista oggi come lì, che era la sua priorita mia scuola.
2681946	2682787	Perché a me l'ha detto?
2683447	2684107	Perché a te?
2684147	2686568	Perché a te l'ho detto io?
2686808	2687888	Sì, ma che cosa senti?
2688268	2690909	Questa è quella che ho fatto l'altro giorno.
2690929	2691369	Ah, hai fatto?
2691909	2694870	Sì, e me l'ho vista quando stavo nei corritori.
2695810	2703612	Ma adesso la devo stampare e... E praticamente lui dice di dare un'utilità, però a questo punto abbiamo...
2706137	2707157	Questa opportunità.
